Object ID,Object
1,Oven
2,Kite
3,Lamp
4,Helmet
5,Telescope
6,Hat
7,Gloves
8,Jacket
9,Spacecraft
10,Star
11,Boat
12,Satellite
13,Unicorn
14,Stethoscope
15,Pants
16,Rock
17,Scissors
18,Dog
19,Car
20,Plate
21,Tower
22,Fishing rod
23,Charger
24,Action figure
25,Dress
26,Garden
27,Mask
28,Hair dryer
29,Toaster
30,Phone
31,Brush
32,Computer
33,Television
34,Alien
35,Suit
36,Dinosaur
37,Fence
38,Leaf
39,Tunnel
40,Joystick
41,Motorcycle
42,Drum
43,Flashlight
44,Microphone
45,Banana
46,Escalator
47,Shirt
48,Shampoo
49,Puzzle
50,Watch
51,Hand sanitizer
52,Piano
53,Rain
54,Vaccine
55,Toothpaste
56,Flower
57,Basketball
58,Lake
59,Snow
60,Moon
61,Ball
62,Book
63,Soap
64,Fan
65,River
66,Statue
67,Comb
68,Game controller
69,Blanket
70,Violin
71,Bridge
72,Wall
73,Toy
74,Headphones
75,Guitar
76,Notebook
77,Glove
78,Belt
79,Table
80,Shoes
81,Stairs
82,Globe
83,Sandals
84,Radio
85,Lantern
86,Microwave
87,Dragon
88,Astronaut
89,Sofa
90,Knife
91,Makeup
92,Stamp
93,Shoe
94,Robot
95,Mattress
96,Glasses
97,Mirror
98,Toothbrush
99,Bottle
100,Refrigerator
101,Window
102,Airplane
103,Pencil
104,Cards
105,Mountain
106,Road
107,Lotion
108,Sunglasses
109,Camera
110,Pen
111,Chair
112,Blender
113,Cable
114,Elevator
115,Beach
116,Fork
117,Skateboard
118,Pillow
119,Boots
120,Planet
121,Baseball bat
122,Umbrella
123,Tennis ball
124,Dryer
125,Galaxy
126,Spoon
127,Map
128,Surfboard
129,Snowboard
130,Sled
131,Truck
132,Cloud
133,Sunscreen
134,Sun
135,Flute
136,Door
137,Perfume
138,Thermometer
139,Bicycle
140,Floor
141,Syringe
142,Battery
143,Remote control
144,Ceiling
145,Calculator
146,Vase
147,Cat
148,Tree
149,Forest
150,Bus
151,Castle
152,Bandage
153,Video game console
154,Clock
155,Scarf
156,Sculpture
157,Apple
158,Skis
159,Bicycle helmet
160,Dice
161,Roof
162,Football helmet
163,Balloon
164,Ocean
165,Island
166,Wallet
167,Speaker
168,Cushion
169,Bed
170,Chess
171,Desert
172,Elephant
173,Slippers
174,Dishwasher
175,Cup
176,Folder
177,Plant
178,Tie
179,Painting
180,Doll
181,Medicine
182,Grass
183,Deodorant
184,Backpack
185,Key
186,Train
187,Shorts
188,Golf club
189,Washing machine
190,Helicopter
191,Razor
192,Candle
193,Highway
194,Skirt
195,Soccer ball
196,Tennis racket
197,Scooter
198,Envelope
199,Tissue
200,Curtain
